tick	_total	create	finish	memory	needList	roomUpdate	run
17446641	4575,4	166,8	0,2	711,6	652,6	19,9	3017,8
17446741	4255,3	92,5	0,2	631,4	696,9	20,3	2807,6
17446841	4409,8	168,1	0,2	598	719,6	20,2	2897,7
17446941	4695,4	139,9	0,2	777,3	640,9	20,1	3110,6
17447041	4691,2	153,1	0,2	638,5	642,8	22,7	3228,6
17447142	4041,6	190,9	0,2	654,8	661,7	20,5	2506,4
17447242	3547	105,4	0,2	540,9	560,4	16,8	2318,3
17447342	4081,6	175,2	0,2	601,6	660,9	18,5	2619,4
17447442	4036,2	158,4	0,1	619,1	658,7	19,4	2574,9
17447542	3749,6	136,5	0,2	678,1	520,9	19	2389,3
17447642	3431,4	104,2	0,2	587,8	522,8	18,6	2193,1
17447742	3720,7	87,5	0,1	684,9	593,4	21,2	2328,5
17447842	4049,6	168,4	0,1	580,4	543,8	19,4	2732
17447942	3591,5	153,1	0,1	591,5	533,5	19,3	2289,5
17448042	3740,7	138,3	0,2	576,6	599,5	20,2	2400,7
17448142	3898,6	107	0,1	576,2	728,7	18,7	2462,7
17448242	3612,6	88,7	0,1	599	552,8	17,6	2349,4
17448343	3748,5	227,1	0,2	662,9	584,7	30,8	2237,3
17448443	3836,1	176,7	0,2	618,4	607,6	17,7	2409,8
17448543	3787,3	97,9	0,2	578,3	534,9	18,2	2552,4
17448643	3805,4	137	0,2	693	585,4	20,1	2364,2
17448743	3683	138,2	0,2	590,3	569	19,2	2360,3
17448843	3465,7	124,4	0,2	503,6	547,9	17,8	2266,5
17448943	3892,4	112,2	0,1	629,3	599,8	19,9	2525,5
17449043	3839,5	134	0,2	611,7	649,3	19,2	2420,3
17449143	3723,1	126,9	0,2	625,2	562,9	20,2	2382,8
17449243	4265,8	88,8	0,2	667,1	715,4	21	2768,1
17449343	3990,8	187,9	0,1	644,6	608,4	18,2	2527,1
17449443	3958,8	212,7	0,2	601,6	575,7	19,1	2545,1
17449543	3731,9	159,6	0,2	609,9	591	22,5	2343,7
17449643	3853,5	130,3	0,2	651,6	617,1	19,6	2429,3
17449743	3801,3	81,3	0,1	691,7	594	20,2	2409,4
17449843	3975,2	91	0,2	629,6	590,9	21,8	2637,5
17449943	4181,9	123,5	0,2	588,1	693,5	19,1	2752,8
17450043	4113,3	60,9	0,1	559,7	585,5	19,5	2878,5
17450144	3972,4	91,2	0,2	532,5	633,8	23,9	2685,3
17450545	4088,3	237,9	0,2	751,1	616,5	22,7	2453,7
17450645	4556,3	177,8	0,2	676,6	566,3	18,6	3111
17450745	4134,6	67,1	0,1	763,3	602,2	18	2678,7
17450845	3584,3	65,5	0,2	538,9	553,3	15,8	2406,4
17450945	4358,1	82,6	0,2	608,6	549,5	15,6	3096,8
17451045	3681	65,5	0,3	560,4	578,1	16,9	2454,5
17451145	3787,7	78,8	0,2	571,7	539,1	16,2	2576,4
17451245	4444,5	53,6	0,2	711,2	548,7	20	3106,1
17451345	4287,1	71,4	0,2	603,5	595	16,3	2995,6
17451444	4262,8	55,5	0,2	723,1	611,1	21,4	2845,9
17451544	5104,1	117,6	0,3	730,7	776,9	23,3	3448,3
17451644	5447,8	103,6	0,2	806,3	755,9	27,5	3746,5
17451744	4338,6	117,4	0,2	698,2	685,5	24	2806,7
17451844	3812	70,1	0,1	536,5	589,1	18,4	2592,7
17451944	4196,6	111,4	0,2	662,4	612,4	21,1	2782,4
17452044	3693,9	165,9	0,1	640,5	560,4	20,1	2300,9
17452144	3885,8	118,3	0,2	626,4	545,7	19,7	2570,5
17452244	4056,7	109,2	0,1	650,3	589,6	20,1	2681
17452344	3834,6	137,5	0,2	612,7	535,6	20,8	2521,9
17452444	3904,6	102,4	0,2	630,3	547,3	20,8	2597,5
17452544	4253	54,8	0,2	668,2	689,5	20	2814
17452644	4377,7	144,2	0,2	644,5	581,7	19	2981,8
17452744	4328,9	65,3	0,1	620,2	565,6	19,9	3051,7
17452844	4574,3	106,5	0,2	668,9	601,8	21,5	3168,7
17452944	4502,6	101	0,2	668,2	617,2	21,4	3088,5
17453044	4647,6	91,5	0,2	680,9	604	22,4	3242,5
17453144	4588	78	0,2	685,9	611	21,7	3185,5
17453244	4150,2	54,9	0,2	620,1	560,1	19,8	2889,5
17453344	4429,1	87,1	0,2	674,6	569,7	20,8	3071,1
17453444	3927,9	70,1	0,2	557,7	583,3	20,5	2691
17453544	4284,9	59,2	0,1	552,4	547	18,7	3102,8
17453644	4115,6	68	0,2	572,6	567,3	19,4	2883,4
17453744	4312,8	73,6	0,2	684,1	703,1	21,6	2823,5
17453844	4077,5	64,5	0,2	686,8	568,1	20,4	2731,7
17453944	4582,4	89	0,2	693,2	594,2	21,7	3177,9
17454044	3922	97,5	0,2	634	568,5	22,7	2590,6
17454144	4090,1	77,2	0,2	693,7	588,9	21,3	2702,8
17454221	4835,1	81,6	0,3	755,8	697,9	22,8	3269,9
17454322	4674,5	105,8	0,2	763	746,5	24	3027,8
17454422	4173,9	97,7	0,2	731,1	704,1	21,9	2612,2
17454522	4834,4	94,8	0,2	837,7	709	25,4	3160,8
17454622	4328,8	80,9	0,1	674,6	644,2	19	2904,6
17454712	4489,1	77,9	0,2	838,8	813,1	30,8	2721,5
17454807	5214,2	123,5	0,2	927	853,8	26,8	3275,5
17454906	4869,8	121,3	0,2	827,5	738,3	21,7	3153,5
17454991	6005,2	172,7	0,3	1172,2	1134,4	33,9	3479,9
17455088	6193	116,9	0,3	1027,1	1021,6	27,6	3989,6
17455187	6289,9	140	0,3	1115,8	1166,9	27,6	3830,1
17455286	6451,2	191,3	0,3	1080,7	1121,5	27,8	4020,5
17455383	5831,6	104,9	0,3	1086,5	952,8	29	3650,3
17455478	6629,8	146,1	0,3	973,9	1099,7	32,2	4369,7
17455578	6506,2	136,9	0,2	844,1	1000	27,6	4490,1
17455677	6594,1	144	0,3	930,9	1080,3	30,4	4400,7
17455777	6334,6	102,4	0,2	1027,9	1091,9	27,8	4077,1
17455877	6281,8	161,1	0,5	1021	1060,8	28,9	4002
17455977	5756,1	158,9	0,3	971,2	980,1	24,1	3615,3
17456075	6402	90,3	0,3	1064,3	1111,4	27,7	4099,9
17456174	7017,2	136,7	0,3	1038,4	1090,7	32,5	4710,7
17456274	7180,4	265,9	0,3	1112,2	1000,4	28,1	4764,7
17456373	6373	134,6	0,3	950,6	993,6	35,8	4250,5
17456471	7108,5	139	0,3	1118,3	1158,2	35,2	4647,8
17456571	7246,9	207,2	0,3	1043,3	1149,2	36,4	4802,4
17456671	7967,2	179,3	0,3	1124,5	1208,6	36,5	5408,1
17456768	7422,1	144,1	0,3	1038,1	1231	31,1	4968,7
17456868	5343,7	90	0,2	769,8	767,2	24,4	3685
17456968	5330,2	96,7	0,2	800,5	764,8	29,1	3631
17457068	5172,2	119,2	0,2	799,1	767,6	25,9	3452,4
17457168	4592,6	138,7	0,4	661,2	633,7	19,7	3132,9
17457268	4400,6	132,2	0,2	799	612,6	19,7	2830,4
17457368	4096,5	100,5	0,2	674,1	593,2	19,5	2703
17457468	4110,9	93,5	0,2	699,3	647,6	23,1	2641,1
17457568	3913,4	138,1	0,1	580	602,8	17,8	2570,1
17457668	3407,2	77,7	0,1	605,8	561,3	17,3	2140,2
17457769	3602,5	133,1	0,1	594,6	553,3	18,6	2297,9
17457869	3940,4	124	0,2	701	547,1	22,7	2539,1
17457969	3583,2	93	0,2	649,7	526,4	19,6	2288,9
17458069	3754,5	78,1	0,1	709	596,8	20,5	2343,8
17458169	3953,3	95,8	0,1	699,9	612,2	20,7	2519,1
17458269	4588,5	81,5	0,3	724,3	605,4	21,7	3149,8
17458369	4184,5	51,7	0,1	758,6	628,7	22,6	2716,4
17458469	3955,9	85,7	0,1	716,4	593	20,3	2534,5
17458569	4421,6	69,8	0,1	765,2	620,4	20,2	2939,8
17458669	3875	56,5	0,2	697,4	571,2	19,5	2524,3
17458769	3978,6	77,6	0,1	657,7	547,3	18,7	2670,7
17458869	4484,3	109,9	0,1	753,1	610	30,7	2974,5
17458969	4247,5	112,8	0,1	714,4	578,2	19,8	2816,4
17459069	4173,8	85	0,1	680,9	604,1	19,2	2778,3
17459169	4116,3	84,9	0,1	704,2	562	18,8	2740,5
17459269	4644,6	106,9	0,1	696,1	596,1	21,2	3217,7
17459369	4441,4	128,3	0,1	670,8	584,7	17,4	3032,9
17459469	4224	86,1	0,1	714	614,9	17,6	2785,2
17459569	4516	136,6	0,1	668,3	614,4	18,2	3072,8
17459669	4468	82	0,1	677	609,3	18,9	3075,2
17459769	4894,7	87,3	0,1	871,6	615,6	18,9	3295,6
17459869	4927,2	153,5	0,2	769	643,7	20,2	3333,3
17459969	4897,4	119,9	0,2	684	638,5	19,7	3428,6
17460069	4840,1	78,4	0,2	726,3	628,9	19,7	3380,2
17460169	4939,9	83,2	0,1	672,6	617,3	17,8	3543,4
17460269	4453	55,4	0,1	664,9	589,6	19,4	3118,6
17460369	4269,1	67,8	0,2	690,7	604,7	20,2	2878,5
17460469	4208,2	68,5	0,1	576,9	561	18,5	2976,1
17460569	4685,8	64,6	0,1	641,3	616	20,7	3338
17460669	4360,3	75,3	0,2	673,4	604,9	19,5	2981,7
17460769	4125,7	63,1	0,1	667,5	566,2	20,3	2802,7
17460869	4394,3	54,3	0,1	679,6	574,3	19,2	3061,2
17460969	4378,9	98	0,1	732,2	609,4	20,6	2912,4
17461069	4284	99,5	0,1	673	582,7	20,4	2902,2
17461169	4609,5	64,5	0,4	681	590,1	23,7	3244,1
17461269	4540,2	104,7	0,1	700,2	620,6	18,9	3085,4
17461369	4153,7	72,9	0,1	661,8	563,4	18,1	2832,2
17461469	4692,6	144,5	0,1	679,2	566,8	17,9	3279,1
17461569	4572,2	108,7	0,1	755,7	640,3	20	3041,3
17461668	4743,8	115,3	0,2	727,9	652,7	25,9	3215,1
17461768	4974	101,8	0,2	751	740,8	24,1	3349,8
17461868	4580,3	166,3	0,9	700	688,1	24,4	2994
17461968	5225,3	114,1	0,2	737,4	733,5	26,2	3606,9
17462068	4874,1	88,3	0,2	720,2	616,9	20	3422,9
17462168	4631,6	62,6	0,1	699,8	655,6	19,5	3187,8
17462268	5227,8	78,2	0,1	756,5	624	17,9	3744,9
17462368	4674,9	64	0,1	661,3	568,1	17	3359,2
17462468	4705	71,3	0,1	719,3	656,9	21,1	3230,6
17462568	4741,9	90,9	0,1	755,9	671,5	21,9	3196,1
17462668	4893,8	104,8	0,1	722,5	603,8	20,1	3437,5
17462768	4321,6	85,2	0,1	635,9	603,8	18,7	2972,8
17462868	4086	90	0,1	613,9	578,2	18,7	2780,8
17462968	4459,3	97,9	0,1	667,3	618,3	20	3051
17463069	4570	97,6	0,2	603	604,4	20,3	3239,1
17463169	4321,2	95,1	0,1	601,5	605,1	18,6	2996,2
17463269	4036,8	61,4	0,1	612,1	599,5	18,9	2740,4
17463369	4613,4	67,5	0,2	691,9	595,9	17,4	3234,9
17463469	4752,3	101,6	0,2	877,2	628,5	20	3119,2
17463569	4107,1	113,6	0,2	695,8	531,8	20,4	2740,1
17463669	3996,8	69,9	0,2	690,8	564,8	20,1	2645,9
17463769	3787,8	62,6	0,2	686,9	545,5	18,9	2469,1
17463869	3892,6	51,2	0,1	700,8	550,8	18	2565,9
17463969	3814,5	47,3	0,2	700	558,3	23,3	2480,5
17464069	4175,5	74,8	0,1	673,8	555	23	2842,9
17464169	4091,8	102,5	0,2	672,2	552,3	18,9	2740,1
17464269	3868,1	92,6	0,2	680,1	562,9	19,1	2507,8
17464369	4305,9	122,8	0,2	651,7	576,9	20,6	2927,9
17464469	4307,4	129,7	0,2	668,8	593,3	23	2886,7
17464569	3925	119,3	0,2	665,6	595,6	19,8	2518,6
17464669	4275,8	100,7	0,2	648,3	564,7	19,7	2936,6
17464769	4627,2	104,9	0,2	688,8	581,2	17,8	3228,3
17464869	4018,1	130,7	0,2	628,2	603,8	18,6	2630,8
17464969	3995,4	95,1	0,2	562,2	573,8	18,6	2740,3
17465069	4396,3	122,4	0,1	687,8	614,9	18,5	2947,5
17465169	4630,4	85,3	0,1	710,6	630,3	18,9	3179,4
17465269	4314,6	68,9	0,2	785,9	586,8	19,5	2847,5
17465369	4970	145,1	0,2	804,8	610,7	19	3384,5
17465469	4870,3	78,1	0,2	676	620,6	19,7	3470,1
17465569	4457,6	107,7	0,2	691,9	647,7	20	2984,4
17465669	4328	64,6	0,2	653,1	607,9	19,4	2977,3
17465770	4682,1	83,6	0,2	732	668,9	18,9	3173,1
17465870	4250,5	73,2	0,1	620	601,4	16,6	2934,8
17465970	4509,1	75,8	0,1	587,3	578,9	18,8	3243,8
17466070	4644,9	108,4	0,2	625,6	593,5	18	3294
17466170	4961,6	98,6	0,2	706,5	691,2	18,9	3440,5
17466270	4839,2	76,3	0,2	691,9	645,8	22,5	3396,8
17466370	4910,6	95,3	0,2	698,2	628,5	19	3463,4
17466470	4926,9	53,1	0,2	678,1	651,1	20,2	3518,7
17466570	5264,1	76,1	0,2	687	638,1	19,6	3836,8
17466670	5160,2	67,4	0,2	711,2	704	18,9	3653,1
17466770	5011,5	63,5	0,1	676,2	631,8	17,8	3616,9
17466866	6441,9	106,2	0,2	808,9	925,5	27,9	4565,1
17466962	6551,6	139,7	0,2	950,7	975,8	30,7	4446,3
17467160	5972,3	91,3	0,2	810,8	832,7	24,2	4205,8
17467260	6145,9	136,2	0,7	743,8	788,4	25,3	4444,9
17467360	5765	88	0,2	733,5	815,1	24,1	4097,1
17467460	5629,3	90,1	0,2	736,7	732,2	22,4	4041,6
17467560	4991,4	89,6	0,2	668,1	619,8	23,8	3584,6
17467660	4842	74,1	0,1	765,6	683,3	21,9	3291,8
17467760	4963,7	131,1	0,4	778,3	670,7	24,2	3352,5
17467860	4932,2	105,4	0,1	699,6	643,3	21	3457
17467960	4862,3	64,5	0,1	768,6	693,4	21,8	3308,4
17468060	4851,9	83,9	0,2	724,9	661,2	19,6	3356,8
17468160	5044,5	120	0,1	702,5	647,1	18,2	3550,9
17468260	4646,4	79,4	0,2	693,9	649,7	20	3198,1
17468360	4997,9	70,6	0,2	698,5	670,5	20,9	3530,4
17468460	4955	55,1	0,1	755,6	766,3	20,5	3350,6
17468560	4673,9	97,8	0,2	837,3	812	20,7	2900,5
17468660	4893,4	67,3	0,1	666,2	650,1	21	3483
17468760	5011,5	94,9	0,1	682,3	689,7	20,1	3518,6
17468860	4691,9	72,2	0,2	676,7	630,7	19,2	3287,6
17468960	4737	84,9	0,2	682,1	662,9	18,5	3282,7
17469060	5074	99,7	0,2	701,1	638,6	21,2	3607,4
17469160	4768,2	57,7	0,2	715	677	20,3	3292,4
17469261	5190,5	99,4	0,1	822,8	662,6	19,6	3580,3
17469361	5482,6	86,7	0,1	822,1	677,4	21,3	3869,5
17469461	5285,7	104,8	0,1	689,7	653,7	20,1	3811,7
17469561	5322,1	77,2	0,1	753,5	872	20,2	3593,7
17469661	5024,4	82,3	0,2	699,4	712,7	22,7	3502
17469761	4833,7	91,9	0,2	745,6	692,2	25,2	3273,5
17469861	4958,4	62	0,2	726,3	669,5	24,2	3470,9
17469961	5013,6	118	0,2	896,2	656	19,4	3317,4
17470061	4446,9	106,6	0,1	653,9	606,1	19,1	3055,8
17470161	4636	120,1	0,2	711	614,8	19	3165,1
17470261	4406,7	92,2	0,2	705,3	613,8	19,9	2969
17470361	4620,6	77,6	0,1	720,7	632	21,6	3162,8
17470461	4571,7	60,9	0,1	659	635,8	18,8	3191,7
17470561	4584,4	79,4	0,2	666,9	618,5	20,3	3193,3
17470661	4610,7	105,2	0,2	695,1	606,9	20,2	3177,8
17470761	4962,1	67,3	0,2	801,4	617,7	17,9	3451,8
17470861	4437,7	71,4	0,1	625,5	623,7	17,9	3094,1
17470961	4909,9	101,3	0,1	689,5	632,1	18,8	3463
17471061	5132,2	54,7	0,1	805,9	636	19,2	3611,3
17471161	4916,4	62,1	0,1	787,3	654,7	18,2	3389
17471261	4882,7	88,1	0,1	694,9	657,6	20,2	3417
17471361	5189,1	98,2	0,4	695	658,3	18,7	3713,5
17471461	4591,4	72,5	0,1	637,8	608,9	17,6	3250
17471561	5084,5	91	0,1	678,2	637,8	21,2	3651,1
17471661	5123,7	70,3	0,2	684,8	622,5	20,1	3721,3
17471761	4664	66,2	0,1	736,1	626,8	17,9	3212,3
17471862	4642,9	79,4	0,1	665,8	596,3	18,4	3278,2
17471962	4670,1	78,4	0,1	623,6	650,5	18,7	3294
17472062	4764,2	109,9	0,1	680,9	659,1	18,1	3291,5
17472155	6903	164,9	0,3	1025,1	1046,4	27,8	4629,6
17472255	5612	127,4	0,2	787,7	842,6	23,4	3824,1
17472355	5510,6	153,5	0,2	728,2	773,4	24,3	3824
17472448	6558	175,2	0,2	967,5	946,7	30,6	4428,8
17472539	5858,8	165,8	0,2	843,1	823,2	23,6	3995
17472639	5629,2	132,6	0,2	859,4	816,8	24,8	3787,7
17472739	5054,7	96	0,3	711,4	744,7	22,7	3473,2
17472839	5476,8	150,9	0,2	732,7	726,5	22,4	3837,7
17472935	5023,9	86,1	0,1	723,8	675,2	20	3513,7
17473031	5510,6	239,2	0,2	814	752,8	24,5	3672,2
17473131	5406,1	131,6	0,2	841,9	712,8	24,3	3687,5
17473231	5858,7	101,3	0,2	751,9	797,1	25	4176,2
17473331	4922,8	74,3	0,1	633,1	703,3	20,4	3486,1
17473430	5135	75,7	0,1	593,5	651,2	17,8	3791,6
17473528	4506,2	70,3	0,1	558	627,7	20,4	3224
17473628	4577,8	72,1	0,2	647,6	652	25,7	3174,8
17473728	4464,5	111,5	0,2	556,5	622	20,4	3148,7
17473828	5033,4	108,1	0,2	784,9	635,6	20,7	3477,2
17473928	4540,2	71,5	0,2	674,7	615,8	19,9	3152,1
17474028	4739,9	72,3	0,2	782,6	644,3	20,9	3213,1
17474128	4751,3	50,6	0,2	687,5	751,9	19,9	3234,3
17474228	4822,6	36,9	0,2	719,6	664,3	19,6	3375,4
17474327	4889,3	65,7	0,2	718,3	670,5	20	3408,3
17474427	4506,8	124,9	0,2	663,3	625,5	18,7	3067,4
17474527	4839,4	120,6	0,2	703,5	638,5	17,4	3353,1
17474627	4841,2	116,5	0,2	634,3	655,6	18,6	3408,4
17474721	5263,4	81,4	0,2	779,5	766,4	26,4	3602,9
17474821	5458,7	78,6	0,2	792,4	772,9	23,5	3784,4
17474921	5532,5	91,2	0,2	744,9	810	22,8	3843,2
17475021	5073	60	0,2	660,6	699,9	18,8	3627,6
17475121	5054,3	117,2	0,1	603,5	678,7	19,4	3630,4
17475221	5282,2	87,8	0,1	648,2	644,2	17,7	3879,9
17475321	4928,6	79,3	0,1	676,1	692,3	18,2	3457,7
17475420	5196,6	79,1	0,1	651,6	671,8	17,1	3772,7
17475520	5495,8	44,5	0,1	722,3	803,7	16	3904,7
17475619	5208,9	85	0,1	658,1	628,9	19,1	3812,7
17475719	5959,2	82,9	0,1	652,4	708,7	17,2	4493,5
17475819	4843,4	62,3	0,1	838,6	932,4	20,2	2984,1
17475919	4430,1	81,9	0,1	666,6	746,1	19,7	2910,6
17476019	4750,5	78,1	0,2	715,3	709,8	18,7	3223,3
17476119	4786,6	117,2	0,1	772,1	746,9	20,2	3124,5
17476218	4398,7	110,6	0,1	763,2	709,5	19,8	2790,8
17476318	4226	144,1	0,2	678,2	775,1	18,3	2605
17476418	4189,5	89,7	0,2	698,4	629,4	15,8	2750,8
17476518	4262,4	89,6	0,1	772,9	628,4	19,1	2746,9
17476618	4178	80,9	0,2	697,3	614,7	18,3	2760,9
17476718	4690,5	79,6	0,1	762,5	625,2	22,5	3195,1
17476818	4600,7	78,5	0,1	790,7	761,1	22	2942,7
17476918	4172,6	99,2	0,2	763,7	616,5	20,2	2667,9
17477018	4335,6	116,9	0,2	734,5	611,1	20	2847,8
17477118	4357,8	79,4	0,1	697,8	580,9	19,4	2975,4
17477217	4663,2	87,6	0,2	1007,9	640,9	15,6	2904,8
17477316	4571	99	0,2	800,4	796,9	20,6	2847,2
17477416	4930,4	201,4	0,2	762	771,6	24,4	3162,3
17477516	4701,6	120,8	0,2	719,4	749,4	21,2	3084,2
17477616	4348,3	78,7	0,1	619,4	629,3	20,3	2995,1
17477716	4390,9	76,6	0,2	593,4	579,4	18,6	3118
17477816	4189,2	96,1	0,1	603	591,9	18,5	2874,4
17477915	3858,5	73,4	0,1	596,3	533,9	18,1	2631,7
17478015	4129,8	118,3	0,1	581,8	530,7	17,8	2876,5
17478115	3861,1	80,2	0,1	572,9	506,6	19	2678
17478213	4117,2	93,6	0,1	635	609,9	19,6	2753,2
17478301	3049,2	110,3	0,2	709,2	637	12,1	1574
17478391	3919,4	122	0,2	786,7	719,4	26,2	2257,4
17478491	4237,4	91,1	0,2	760,8	690,7	25,1	2662,5
17478591	4826,3	111,2	0,2	721,2	716,4	26,6	3244,9
17478691	4074,4	79,6	0,1	646,3	585,8	20,9	2736,4
17478791	3628,2	73,8	0,2	585,9	576,9	21,7	2364,1
17478891	3656	61,8	0,2	571,5	519,6	17,7	2479,1
17478991	3725,8	71,8	0,2	608,3	556,6	16	2466,2
17479091	3808,6	63	0,2	719,2	520,7	16,9	2482,9
17479191	3726,5	64,5	0,2	561,8	543,4	18,2	2532
17479291	3929,1	55,5	0,2	537,5	518,2	15,9	2796,2
17479391	3731,8	41,9	0,2	606,1	530,1	16,2	2531,6
17479491	3996,5	85,5	0,2	672,9	572,8	22	2632,7
17479591	3890,8	81,2	0,2	682,7	582,3	19,3	2518,5
17479691	4012,2	69,5	0,2	684,2	525,5	18,2	2708,5
17479791	4054,7	94,1	0,2	709,5	564,6	19,2	2660,2
17479892	3940,5	67,7	0,2	700,6	551,2	19,4	2595,1
17479992	4374,4	98	0,2	728,6	553,6	20,3	2967,8
17480092	3881,5	74,4	0,2	710,7	555,4	20,9	2513,7
17480192	3813,1	67,7	0,2	848,2	552,4	18,5	2319,9
17480292	3940,5	58,7	0,2	715,4	560,1	18,5	2581,8
17480392	3983,3	69,2	0,2	692,6	588,7	17,9	2608,5
17480492	3582,7	75,8	0,2	674,6	538,3	21,2	2266,3
17480592	4131	77,8	0,2	683,1	532,9	18,3	2811,7
17480692	4278,7	75,5	0,2	698	533,8	17,9	2947,4
17480792	4177	66,6	0,2	675	551,1	20,5	2857,6
17480892	3626,4	50,3	0,2	677,5	533,8	17,6	2341
17480992	3917,5	93,6	0,2	788,5	545,7	25,3	2458,6
17481092	4412,6	121	0,2	738,1	557,8	20,4	2968,4
17481192	4329,8	105,4	0,2	723,7	602,9	24,1	2866,6
17481292	4045,2	85,4	1,8	582,4	564	19,5	2784,9
17481392	3998	124,4	0,2	577,2	557,9	22,5	2710,4
17481492	4148	118,2	0,1	559,8	537,3	19,1	2908,4
17481592	4185,8	65,9	0,2	590,3	567,9	19,3	2936,1
17481692	4038,5	106,4	0,2	582,5	552,8	17,9	2772,9
17481792	4107	115,6	0,2	582,6	568,2	19,8	2814,4
17481892	5099,7	114,7	0,2	606,7	579,4	18	3774,3
17481992	4506	70	0,2	626,2	613,1	18,3	3172,1
17482091	5152,4	107,1	0,2	690	679,1	23	3646,1
17482191	5700,4	84,7	0,2	787	763,1	24,8	4033,7
17482291	5198	73	0,2	698,7	774,7	23,3	3621,2
17482391	5076,8	72,5	0,2	715	741,4	23,7	3517,7
17482491	5186,4	89,9	0,1	777,4	682	20,3	3612,1
17482596	5481	81,2	0,1	655,7	705,3	17	4052,9
17482699	5183,9	83	0,1	751,9	719,1	22,3	3646,6
17482999	6429,6	130,6	0,2	954,8	712,8	29,1	4596,3
17483099	5354,5	92,7	0,2	1002,4	682,7	29,1	3541,7
17483199	5450,1	79,1	0,2	1044,7	690,1	31,8	3599,3
17483299	5687,6	124,6	0,2	998,4	661	26,4	3871,6
17483501	5712,4	109,6	0,2	1186,4	692,3	31,5	3687
17483601	5889,9	92,5	0,2	1128,7	681,5	33,3	3948,6
17483701	5775	78,8	0,2	1124,7	687,5	29,6	3849
17483801	5759,9	80,6	0,2	1193,2	712,7	30,6	3731,6
17483901	5480,3	69,6	0,1	1066,9	764	30,5	3544,7
17484001	5925,6	158,2	0,1	1056,7	641,8	30,1	4033,9
17484101	5440,7	72,7	0,1	1040,8	608	34,7	3680,3
17484201	4884,5	80,5	0,1	1125,7	581,4	29,3	3063,1
17484301	4911,1	75,5	0,1	1106,6	591,1	34,2	3099,2
17484401	5123,5	45,9	0,1	1175	609,1	30,7	3258,6
17484501	4568,5	69,9	0,1	1065,8	585,7	30,6	2812
17484601	4736,3	88	0,1	1077	582,1	29,9	2955
17484701	5675	113,1	0,1	1090,1	633,2	31,2	3802,1
17484801	4971,4	65,3	0,1	1143	631,4	33,6	3093
17484901	4904,9	111,8	0,1	1071,4	600,7	28,9	3086,9
17485001	5267,6	96,9	0,1	1111,5	611,4	27,7	3415,1
17485101	5320,8	93,9	0,1	1153,8	616,8	27,6	3423,7
17485201	5231,8	65,7	0,1	1155,8	604,8	29,6	3370,8
17485301	5041,9	113,4	0,1	1144,4	622	25,9	3131,4
17485401	5154,1	105,8	0,1	1093,5	591,6	32,9	3325,5
17485501	5416	105,2	0,1	1311,4	619,1	29	3345,7
17485601	5136,6	119,9	0,1	1093,8	672,7	33	3212,2
17485701	5196,6	147,3	0,1	1063	693,7	30	3257,9
17485801	5484,3	136,5	0,1	1007,8	630,5	33,1	3671,8
17485901	4958	109,3	0,1	995,4	609,9	29,9	3208,7
17486001	4886,3	58,6	0,1	1043,2	637,8	30,5	3111,5
17486101	5479,3	72,4	0,1	1101,9	624,5	34,2	3641,5
17486201	5034,1	50,5	0,1	1199	737,7	29,3	3012,8
17486301	4740,2	66	0,1	1085	631,4	35,3	2917,9
17486401	4962,5	94	0,1	1117	642,4	29,5	3074,6
17486502	5155,9	177,2	0,2	1046,1	672,4	34,7	3220,2
17486602	5009,4	102,2	0,2	982,6	663,3	36,4	3219,1
17486702	4999,3	124,5	0,1	1115,2	654,7	29,6	3069,7
17486802	5097,7	108,5	0,2	908,7	643,9	28,1	3403,4
17486902	5101,1	138,2	0,1	964,9	737,1	29,8	3225,5
17487002	4904,4	62,5	0,2	933,4	634,5	33,4	3235,1
17487102	4837,7	109,5	0,1	870,9	657,7	26,8	3167,2
17487202	4891,8	87,1	0,2	929,9	662,6	24,2	3182,6
17487301	5264	115,7	0,2	990,6	689	33,8	3428,8
17487401	5969,8	84	0,2	1300,5	796,9	47,9	3732,3
17487501	5982,7	112,6	0,2	1243,2	744,6	42,1	3832,8
17487601	5538,5	150,8	0,2	1258,2	785,9	45,9	3290,6
17487701	5553	126,4	0,2	1301	622,1	58,2	3438,8
17487801	5902,6	81,6	0,2	1325,2	703,1	50,4	3735,3
17487901	5611,4	77,6	0,3	1301,6	640,1	35,8	3549,6
17488001	5573,8	89,6	0,2	1408,1	643,3	42	3384,2
17488101	6320,4	75,6	0,2	1492,6	700,6	33,8	4011,9
17488201	5518,3	49,9	0,2	1382	683,8	40,7	3355,1
17488301	5627,9	97,3	0,2	1523	675,8	36,7	3289
17488401	5414,1	138,2	0,2	1151,3	643,8	34,1	3440,8
17488501	5455,8	148,8	0,2	1455,3	678,1	31,2	3136,7
17488600	5156,5	102,4	0,2	1219,9	675,2	32,1	3120,7
17488703	5815,4	133,3	0,2	1449,9	754,5	127,4	3434
17488803	7738,9	119,4	0,2	1609,5	737,3	1910,9	3354,4
17488903	7058,3	151,6	0,2	1385,1	804,5	1388,9	3320,7
17489003	6109,1	148,6	0,2	1525,4	613	682,5	3132,8
17489202	5258,7	129,9	0,1	1224	629,7	530,7	2739,4
17489301	5684,9	126	0,2	1179,6	664,1	783,7	2926,2
17489401	5419	80,8	0,1	1149,1	613,9	695,4	2875,4
17489509	5645,8	98,8	0,1	1249,1	651,9	974,6	2786,6
