tick	_total	create	finish	memory	needList	roomUpdate	run
17591580	6559	13,4	0,1	1942,6	300,3	88,4	4207,6
17591680	5761,5	4,6	0,1	1711,8	286,7	108,6	3644,3
17591880	5547	13,2	0,1	1700,2	245,4	62,4	3520,9
17591980	5634,2	14,9	0,1	1763,7	290,9	63,7	3496,5
17592080	6180,8	10,4	0,1	2228,7	283,5	127,7	3526,1
17592180	5502,1	6,5	0,1	1715,8	269,9	87,8	3416,7
17592280	5895,8	15,8	0,1	1883,1	296,3	92,1	3603,2
17592380	5705,9	11,6	0,1	1935,4	248,4	100,5	3404,7
17592480	6009,7	14,8	0,1	1973,8	258,4	72,7	3685,3
17592580	6248,8	16,2	0,1	2112,2	289,7	89,5	3736,1
17592680	6256,2	6,3	0,1	2073,5	265,6	64,6	3841,4
17592780	6318,3	13,9	0,1	2288,4	262	68	3680,9
17592880	6450,8	12,5	0,1	2189,1	239,4	62,2	3941,7
17592980	6491,2	6,4	0,1	2394,8	250,8	102,8	3731
17593080	6358,9	10,3	0,2	2304,2	319,1	91,4	3629
17593280	5313,6	10,5	0,1	1546,8	243,8	65,1	3443,9
17593380	5102,5	13,4	0,1	1344,2	285,8	69,3	3387,7
17593480	4691,4	12,4	0,1	941,5	271,9	60,3	3403,6
17593580	4818,1	10,9	0,1	1141,9	273,6	50,5	3339,7
17593680	4678,7	5,8	0,1	1019,4	285,1	61,5	3305,4
17593780	4956,7	14,4	0,1	1099,2	239,2	74,8	3527,2
17593880	4953,4	33,7	0,1	990,8	252,9	73,5	3600,7
17593980	4906,3	12,6	0,1	1349,5	260,3	50,1	3231,6
17594080	5064,1	25,1	0,1	1170,8	287,5	77,1	3501,3
17594180	4281,3	9,4	0,1	1055,2	227,8	58,1	2928,8
17594280	4714,2	6,6	0,1	1159	268,2	79,4	3198,9
17594380	4432,8	11,9	0,1	1005,6	251,7	59,6	3101,9
17594480	4464,1	8,4	0,1	1087,3	240,5	68,1	3057,6
17594580	4440	6,7	0,1	1041,3	211,8	77,7	3100,4
17594680	4369,6	14,7	0,4	1092,1	228,9	55,2	2976,3
17594780	4442,8	8,9	0,1	1014,3	246,8	70,3	3100,5
17594880	4460,8	8,7	0,2	1077,5	252	61	3059,6
17594980	4997,8	16,1	0,1	1331,8	258,4	64,9	3324
17595080	5277,3	7,1	0,1	1249,4	309,6	64,9	3643,9
17595180	4909,6	15	0,1	1272,1	308,4	65,4	3246,3
17595280	5007,3	16,9	0,1	1175,9	278,2	60,7	3472,8
17595380	4922,6	10,8	0,1	1173,9	254,2	68,1	3413,3
17595480	5055,8	3,5	0,1	1506,2	239,4	123,5	3180,7
17595580	4756,1	19,6	0,1	1026,2	269,5	87,6	3350,1
17595680	5941,1	9,5	0,1	1507,4	301,2	64,6	4055,8
17595780	4847,2	10,7	0,1	1094,6	251,8	59	3428,1
17595880	4954,4	8	0,1	1322,9	259,4	67	3294,5
17595980	4778,3	9,5	0,1	1127,8	255,5	65,3	3318,2
17596080	4906,6	6,9	0,1	1236,6	322,5	67,6	3271
17596180	4712,6	14,2	0,1	1258,8	270,2	84,6	3082,7
17596280	5238,1	13	0,1	1334,4	274,3	66,4	3548
17596380	5044,7	4,6	0,1	1188,5	275,4	79,5	3494,1
17596480	5073,3	11,2	0,1	1238,3	340,2	69,8	3411,5
17596580	5348,7	15,2	0,1	1252,6	298,8	89,2	3690,8
17596680	5332,4	11,3	0,1	1240,5	307,5	91,6	3679,4
17596779	4981,5	15,5	0,1	1184,7	299	76,6	3402,7
17596879	4718,5	15,7	0,1	1160,7	324,3	89,9	3124,5
17596979	4720,1	16,9	0,1	1266,6	290,7	82,4	3060,5
17597079	4268,6	10,4	0,1	1060,3	319,5	66,7	2809,1
17597179	3987,1	12,7	0,1	1037,5	268,6	62,6	2603
17597279	4068,3	17,3	0,1	956,6	262,5	71,1	2758,2
17597379	4833,5	10	0,1	1092,2	251,1	81,9	3395,8
17597479	4513,6	13,4	0,1	981,5	231,3	61	3224,1
17597579	4315	13,9	0,1	1078,3	243,8	57,5	2919,3
17597679	4620	22,7	0,1	939,5	283,4	61,4	3310,7
17597779	4705,9	8,5	0,1	1050,2	289,3	65,5	3290,5
17597879	4406,9	13,7	0,1	831,1	269,4	61,6	3229,1
17597979	4683,1	13,4	0,1	884,9	268,9	58,7	3455,3
17598079	4369,8	21,8	0,1	820,6	240,7	60,9	3223,9
17598179	4332	12,2	0,1	749,6	345,1	60,1	3163,2
17598279	4167,9	13,5	0,1	768	260,8	54,9	3068,5
17598379	4291	12,2	0,1	711,1	242,3	51,6	3272
17598479	4250,1	15,8	0,1	795,6	241,3	74,7	3120,9
17598579	4869,4	14,1	0,1	958,1	267,6	73,8	3532,9
17598679	4573,9	10,4	0,1	1045,8	249,4	78,5	3187,5
17598779	4500,7	15,3	0,1	1083,6	230,5	75,7	3093,7
17598879	4509	7	0,1	980,4	254,1	56,1	3209,5
17598979	4443,5	15,6	0,1	907,6	240	58,9	3219,5
17599079	4348	8,2	0,1	934,2	234,3	59,9	3109,1
17599179	4471,5	10,5	0,1	990,1	243,6	61,3	3163,5
17599279	4423,2	49,2	0,1	875	241,5	61,6	3193,8
17599379	4570,7	15,2	0,1	865,1	254,5	80,1	3353,5
17599479	5023,7	11,9	0,1	983,2	300,9	72,8	3652,7
17599579	4637,1	6,1	0,1	1032,1	274,5	67,7	3254,5
17599679	4948	18,9	0,1	1128,4	273,2	103,4	3421,8
17599779	4697,1	15,6	0,1	1049,1	297,2	66,2	3267,2
17599879	4821,6	10,6	0,1	1011,3	282,9	59	3455,7
17599979	4494,4	12,8	0,1	1005,7	271,7	65,6	3136,9
17600079	4828,4	13,3	0,1	1056,8	285,3	63,2	3407,9
17600179	4270	11,6	0,2	1031,2	259,1	64,1	2901,6
17600279	4386,5	8,8	0,1	1003,6	284,4	63,1	3024,5
17600379	4912,2	13,9	0,1	1056,5	307,3	68,9	3462,5
17600479	5093,5	11	0,1	1050,4	312,4	83,2	3634
17600579	4455,5	12,3	0,1	1015,6	274,5	72,9	3077,9
